legacyId	codigoBarras	nome	descricao	fabricante	precoVenda	estoque
34628		ALERGALIV 10 MG C/ 15 CPR -LORATADINA LEG.	ALERGALIV 10 MG C/ 15 CPR -LORATADINA LEG.	LEGRAND PHARMA	5.99	8
59826		ALERGALIV 1MG/ML XPE 100ML	100ML	EMS	15.99	2
56636		ALGINAC 1 MG C/ 15 CPR POS	1 MG C/ 15 CPR POS	MERCK	38.99	0
58901		ALGODAO ENLACE DISCO 100X1 OF	100 UNID	PERFUMARIA HIGIENE BELEZA	12.49	1
2854		ALGODAO NATHALYA 50 GR	CAIXA	PERFUMARIA HIGIENE BELEZA	6.99	3
42094		ALGY-FLANDERIL 300 MG C/ 20 CPR	300 MG C/ 20 CPR	VITAPAN	9.99	3
59658		ALICATE CUTICULAS MERHEJEC/ESPAT ROSA	ALICATE CUTICULAS MERHEJEC/ESPAT ROSA	MARTINS COMERCIO E SERVI OS	11.99	2
59283		ALLOVITA 50MG/ML SOL CAPILAR	50ML	LEGRAND PHARMA	54.99	1
56280		ALOPURINOL 100 MG C/ 30 CPR	100 MG X 30 CPR	SANDOZ - HEXAL	14.99	2
2950		ALOPURINOL 300 MG C/ 30 CPRSANDOZ	ALOPURINOL 300 MG C/ 30 CPRSANDOZ	SANDOZ - HEXAL	23.99	0
59744		ALOPURINOL 300MG C/30 COMPNOV-GENERICO	ALOPURINOL 300MG C/30 COMPNOV-GENERICO	NOVARTIS	26.99	1
41157		ALPRAZOLAM 0,25 MG C/ 30 CPR	0,25 MG C/ 30 CPR (B1)	GERMED	13.99	2
55514		ALPRAZOLAM 1 MG C/ 30 CPR	1 MG C/ 30 CPR (B1)	LEGRAND PHARMA	11.99	0
58241		ALPRAZOLAM 2MG C/30 CPRS ( B1 )	2,0 mg c/3 bl x 10 cpr	LEGRAND PHARMA	19.99	6
59365		ALTA D 50000UI 4CPS	4CAPS	SANTA CRUZ DISTRIBUIDORA	96.99	1
2982		AMBROXMEL XPE PED C/ 120 MLCIMED	AMBROXMEL XPE PED C/ 120 MLCIMED	CIMED	21.99	1
3000		AMBROXOL CLORID. XPE PED 120ML TEUTO	AMBROXOL CLORID. XPE PED 120ML TEUTO	TEUTO	13.99	1
56724		AMIORON	200mg x 30cpr	GEOLAB	38.99	1
58208		AMOX+CLAV 875MG/125MG C/20CPR LEGRAND	AMOX+CLAV 875MG/125MG C/20CPR LEGRAND	LEGRAND PHARMA	111.99	3
58625		AMOX+CLAV POT 250+62.5MG POSUS FR 75 ML	AMOX+CLAV POT 250+62.5MG POSUS FR 75 ML	UNIAO QUIMICA	44.99	2
49476		AMOX+CLAV. 400+57 MG/5 ML SUSP.70ML GEN.	AMOX+CLAV. 400+57 MG/5 ML SUSP.70ML GEN.	EUROFARMA	44.99	3
105		AMOXICILINA 250 MG C/ 150 ML EMS	250 MG C/ 150 ML	EMS	29.99	3
115		AMOXICILINA 400 MG C/ 100 MLEUROFARMA	AMOXICILINA 400 MG C/ 100 MLEUROFARMA	EUROFARMA	49.99	2
120		AMOXICILINA 500 MG C/ 15 CPS EMS	500 MG C/ 15 CPS	EMS	25.00	2
131		AMOXICILINA 500 MG C/ 21 CPSCIMED	AMOXICILINA 500 MG C/ 21 CPSCIMED	CIMED	24.99	2
51421		AMOXICILINA 875 MG C/ 14 CPRBIOS-GENERICO	AMOXICILINA 875 MG C/ 14 CPRBIOS-GENERICO	BIOSINTETICA	51.99	1
57646		AMOXICILINA+CLAV.POT.400+57MG70ML (G LEG)	AMOXICILINA+CLAV.POT.400+57MG70ML (G LEG)	LEGRAND PHARMA	44.99	1
59737		ANLODIPINO 10MG 30CPR GN	30COMP	VITAMED	9.99	4
59788		ANTISSEP BUCAL PLAX 0250MLKIDS MINIONS(E)*	ANTISSEP BUCAL PLAX 0250MLKIDS MINIONS(E)*	COLGATE - PALMOLIVE	12.49	1
59034		ANTISSEPTICO CLOREXIDINA 1%SPRAY	ANTISSEPTICO CLOREXIDINA 1%SPRAY	FARMAX	10.99	3
59659		AP BARBA PREST ULTRAGRIP OS2UN FEM(E)	AP BARBA PREST ULTRAGRIP OS2UN FEM(E)	MARTINS COMERCIO E SERVI OS	7.99	16
58820		AP. PRESSAO DIG. BRACO MB050 S-ESF-0400.00	MEDIDOR DEPRESS O	MA XWELLFARMA DE MEDICAMENTOS LTDA	176.99	1
3401		APAR BARB GILLETTE MACH 3REGULAR	APAR BARB GILLETTE MACH 3REGULAR	GALDERMA	32.99	3
57756		APAR.PRESSAO PULSO GP 400G-TECH	APAR.PRESSAO PULSO GP 400G-TECH	G TECH	121.99	2
57034		APAR.PRESTO.U.CAB.FI.CART.2UNID	APAR.PRESTO.U.CAB.FI.CART.2UNID	PROCTER & GAMBLE	7.99	8
57086		APAXY 300MG 20CPR GEO	300MG	GEOLAB	23.99	1
59949		APETIKIDS BC XPE FRUTASTROPICAIS 240ML	APETIKIDS BC XPE FRUTASTROPICAIS 240ML	EMMARKA PB DISTRIB DE MEDICAMENTOS LTDA	31.99	1
3518		APEVITIN B+C 240 ML EMS	C/ 240 ML	EMS	19.99	2
59294		APIXABANA 2,5MG 20CPR REV GEN/ SANDOZ GEN. / *(1,	APIXABANA 2,5MG 20CPR REV GEN/ SANDOZ GEN. / *(1,	SANDOZ - HEXAL	59.99	1
58011		ARIPIPRAZOL 10MG 30 CPS / GENARIPIPRAZOL / ( C1	ARIPIPRAZOL 10MG 30 CPS / GENARIPIPRAZOL / ( C1	PRATI DONADUZZI	99.99	3
3600		ARLIVRY XPE 100 ML	ARLIVRY XPE 100 ML	DIVERSOS	19.99	2
3714		ASPIRADOR NASAL LILLO ROSAREF 654130	ASPIRADOR NASAL LILLO ROSAREF 654130	LILLO	16.99	2
3723		ASPIRINA PREVENT 100 MG 30 CPR	C/ 30	BAYER	25.09	0
40976		ASSEPTCARE 10 MG/ML SPRAY 50ML	ASSEPTCARE 10 MG/ML SPRAY 50ML	NEO QUIMICA	15.99	2
242		ASTRO 500 MG C/ 5 CPR	500 MG C/ 5 CPR	EUROFARMA	41.99	1
58734		ATADURA CREPE ORTOM 15CM X1,8M (ORTOM)	ATADURA CREPE ORTOM 15CM X1,8M (ORTOM)	PERFUMARIA HIGIENE BELEZA	5.00	3
58735		ATADURA CREPE ORTOM 20CM X1,8M (ORTOM)	ATADURA CREPE ORTOM 20CM X1,8M (ORTOM)	PERFUMARIA HIGIENE BELEZA	6.00	8
58055		ATENOLOL	50 mg x 30 cpr	BIOLAB SANUS	9.99	3
3795		ATENOLOL 25 MG C/ 30 CPRSANDOZ	ATENOLOL 25 MG C/ 30 CPRSANDOZ	SANDOZ - HEXAL	4.99	1
59550		ATENOLOL 25MG 30CPR (G)	30COMP	VITAMED	4.99	9
59793		ATENOLOL 50MG 30CP (GEN)	30COMP	VITAMED	7.99	4
56304		ATENOLOL+CLORTALIDONA 50MG+12.5 MG C/ 30 CPR	ATENOLOL+CLORTALIDONA 50MG+12.5 MG C/ 30 CPR	SANDOZ - HEXAL	14.99	2
59736		ATORVASTATINA CALC 10MG COMPREV C30 GEN	ATORVASTATINA CALC 10MG COMPREV C30 GEN	TEUTO	17.99	1
3873		ATROPINA 1% COL 5 ML FRUMTOS	1% COLIRIO 5 ML	ALLERGAN	14.34	1
59418		AUTOTESTE COVID AG SWABNASAL MEDLEVENSOHN 1UND	AUTOTESTE COVID AG SWABNASAL MEDLEVENSOHN 1UND	MA XWELLFARMA DE MEDICAMENTOS LTDA	29.99	6
57573		AZITROMICINA	600mg po sus or fr + sol dil x 9ml	EUROFARMA	34.99	1
279		AZITROMICINA 500 MG C/ 3 CPRGLOBO	AZITROMICINA 500 MG C/ 3 CPRGLOBO	GLOBO	19.99	5
285		AZITROMICINA 500 MG C/ 5 CPRNEO QUIMICA	AZITROMICINA 500 MG C/ 5 CPRNEO QUIMICA	NEO QUIMICA	19.99	26
291		AZITROMICINA 900 MG C/ 22.5 MLNEO QUIMI	AZITROMICINA 900 MG C/ 22.5 MLNEO QUIMI	NEO QUIMICA	42.99	1
59730		AZITROMICINA DI-HIDRAT 1.500MGSUSP 37,5ML GEN / P	AZITROMICINA DI-HIDRAT 1.500MGSUSP 37,5ML GEN / P	PHARLAB	43.99	1
58148		AZITROMICINA DI-HIDRATADA*AMPO 600MG PHB	AZITROMICINA DI-HIDRATADA*AMPO 600MG PHB	PHARLAB	29.99	1
56973		BABYMED AMENDOAS CREM BG X40 G	BABYMED AMENDOAS CREM BG X40 G	CIMED	11.49	4
56977		BABYMED AZUL POM BG 45 G	45G	CIMED	9.49	4
3967		BABYMED MENINA PDA 45 GRMORANGO	BABYMED MENINA PDA 45 GRMORANGO	CIMED	12.49	5
57139		BACTRIM C 20 COMP	20CP	ROCHE	41.99	2
56923	0742832932912	BALA DE GENGIBRE ACEROLA 40GBALARAMA	BALA DE GENGIBRE ACEROLA 40GBALARAMA	BALARAMA	4.99	3
56926	0742832932936	BALA DE GENGIBRE EXTRAFORTE40G BALARAMA	BALA DE GENGIBRE EXTRAFORTE40G BALARAMA	BALARAMA	4.99	4
56927	0742832932875	BALA DE GENGIBRE HORTELA 40GBALARAMA	BALA DE GENGIBRE HORTELA 40GBALARAMA	BALARAMA	4.99	5
56929	0742832932868	BALA DE GENGIBRE NATURAL 40GBALARAMA	BALA DE GENGIBRE NATURAL 40GBALARAMA	BALARAMA	4.99	5
56930	0742832932882	BALA DE GENGIBRE ROMA 40GBALARAMA	BALA DE GENGIBRE ROMA 40GBALARAMA	BALARAMA	4.99	4
59778	0630941168820	BALA DE GENGIBRE ZERO ACUCAR26G BALARAM	BALA DE GENGIBRE ZERO ACUCAR26G BALARAM	BALARAMA	7.99	3
58531		BALANCA DIGITAL CINZADELLAMED UNIDADE	BALANCA DIGITAL CINZADELLAMED UNIDADE	PERFUMARIA HIGIENE BELEZA	89.90	1
60064		BALSAMO SUCURI GEL 120G - UBERPHARMA120G		EXPRESS DIST. DE MEDICAMENTOS LTDA	30.99	0
308	46153	UNILEVER	BELFACTRIM F C/ 10 CPR F C/ 10 CPR	BELFAR	19.99	699
59584		BENATUX 120ML MENTA CE 60 (N)(C) (C)	BENATUX 120ML MENTA CE 60 (N)(C) (C)	CIFARMA	17.99	1
4733		BENATUX PASTILHAS FRAMBOESAC/ 12	BENATUX PASTILHAS FRAMBOESAC/ 12	CIFARMA	14.99	0
4752		BENEGRIPE ENV. C/ 6 CPR	ENV. C/ 6 CPR	COSMED	17.00	23
34938		BENZODERM LIQ VD 100 MLPHARMASCIENCE	BENZODERM LIQ VD 100 MLPHARMASCIENCE	PHARMASCIENCE	16.99	1
60037		BEPANDEX TATTOO CRM 20G - DEXPANTENOL+ASSOC20G		EXPRESS DIST. DE MEDICAMENTOS LTDA	16.49	0
56619		BEPANTRIZ DERMA CREM LAB BG7,5ML	BEPANTRIZ DERMA CREM LAB BG7,5ML	CIMED	19.99	2
57935		BEPANTRIZ SOL SPR FR 50 ML	50ML	CIMED	18.49	2
41293		BEROTEC 100 MG AER DOSIF 10 ML	2 MG SOL AER TB 10 ML + BOCAL	BOEHRINGER	36.01	1
58261		BESILATO DE ANLODIP. 10MG C/ 30COMP (G GEO)	BESILATO DE ANLODIP. 10MG C/ 30COMP (G GEO)	GEOLAB	9.99	5
58350		BESILATO DE ANLODIPINO 5MGC/30 VITAMEDC	BESILATO DE ANLODIPINO 5MGC/30 VITAMEDC	VITAMED	4.99	7
59560		BETACORTAZOL CETO 20MG/GCREME 30G	BETACORTAZOL CETO 20MG/GCREME 30G	BELFAR	12.99	6
57704		BETACORTAZOL CRM 30G BLF	30G	BELFAR	15.99	1
50127		BETAISTINA DICLORID. 16 MG C/ 30CPR	BETAISTINA DICLORID. 16 MG C/ 30CPR	EUROFARMA	19.99	1
56470		BETAISTINA DICLORID. 24 MG C/ 30CPR GEOLAB	BETAISTINA DICLORID. 24 MG C/ 30CPR GEOLAB	GEOLAB	25.99	1
4857		BETAMET. DIPROP+AC.SALICILICOLOC 30 ML GE	BETAMET. DIPROP+AC.SALICILICOLOC 30 ML GE	GERMED	22.99	1
4858		BETAMET. DIPROP+AC.SALICILICOPDA 30 GR EMS	BETAMET. DIPROP+AC.SALICILICOPDA 30 GR EMS	EMS	15.99	2
4871		BETAMETASONA DIPROP. CR 30GEMS	BETAMETASONA DIPROP. CR 30GEMS	EMS	32.99	1
56001		BETAMETASONA VALERATO PDA C/30 GR	BETAMETASONA VALERATO PDA C/30 GR	PHARLAB	19.99	0
4890		BETATRINTA INJ 1X1ML	5+2MG INJ CX 1AMP 1ML+SER	EUROFARMA	32.46	0
54592		BETRICORT PDA C/ 30 GR - GEOLAB	PDA C/ 30 GR	GEOLAB	17.99	1
59446		BICO LAVADOR NASAL UNIV C/2 UN	2UNID	PBMED DISTRIBUIDORA LTDA	7.99	2
59129		BIGFRAL REGULAR PLUS ABS 20UN	ABSORVENTE 3X1 20UNID	MARTINS COMERCIO E SERVI OS	24.99	7
55984		BIMATOPROSTA C/ 3 ML	0,3mg/ml sol oft fr x 3ml	GEOLAB	39.99	2
59905		BIO C ZINCO X 30 COM EFEV(AL	1000mg+10mg x 30cpr eferv	UNIAO QUIMICA	39.99	1
58175		BIOARGI C 500MG CPR REV X30 (AL)	30CP	UNIAO QUIMICA	41.99	1
58340		BIOGRIPE CAP DURA X 20	20CP	UNIAO QUIMICA	9.99	0
56844		BIOLAGRIMA 0,10% SOL P/ LENTECONTATO 15 ML (TEUTO	BIOLAGRIMA 0,10% SOL P/ LENTECONTATO 15 ML (TEUTO	TEUTO	39.99	1
59921		BIOTINA 30CAPS STD	30CAPS	EXPRESS DIST. DE MEDICAMENTOS LTDA	21.99	1
5045		BIOZINC KIDS C/ 75 ML	C/ 75 ML	DIVERSOS	39.99	1
5054		BISALAX 5 MG C/ 20 CPR UNIAOQUIMICA	BISALAX 5 MG C/ 20 CPR UNIAOQUIMICA	UNIAO QUIMICA	9.73	5
60039		BISOPROLOL HEMIF 2,5MG 30CPR GEN / PHARLAB GEN. /30COMP		PHARLAB	32.99	0
5163		BLOQ SOLAR SUNLESS FPS50 OILFREE 200 ML	BLOQ SOLAR SUNLESS FPS50 OILFREE 200 ML	PERFUMARIA HIGIENE BELEZA	47.99	0
52148		BLOQ. SOL. SUNLESS F.60 120 GRFARMAX	BLOQ. SOL. SUNLESS F.60 120 GRFARMAX	FARMAX	42.99	1
42912		BLOQ. SOL. SUNLESS KIDS F. 50 C/120 GR	BLOQ. SOL. SUNLESS KIDS F. 50 C/120 GR	PERFUMARIA HIGIENE BELEZA	36.99	1
55807		BOLDO FLAC 10 ML	FLAC 10 ML	DIVERSOS	1.99	12
361		BROMAZEPAM 3 MG C/ 30 CPR (B1)	3 MG C/ 30 CPR	EMS	14.99	1
59276		BROMEXINA 0.8MG/ML XAROPE INF120ML	BROMEXINA 0.8MG/ML XAROPE INF120ML	PHARLAB	18.99	1
5581		BROMEXINA CLORID. INF C/ 120 MLEMS	BROMEXINA CLORID. INF C/ 120 MLEMS	EMS	18.57	2
59302		BRONQTRAT ADULTO	100ML	NATULAB	17.99	2
57985		BRONQTRAT INFANTIL 100ML(NATUL)	BRONQTRAT INFANTIL 100ML(NATUL)	NATULAB	15.99	3
59693		BUBALOO T FRUT	1UNID 5G	POLYBALAS DISTIRIBUIDORA	0.50	51
56648		BUDESONIDA 64MCG SPRAY NASAL120 ACIONAMENOS	BUDESONIDA 64MCG SPRAY NASAL120 ACIONAMENOS	EMS	40.99	1
